"","scientificname","tiplabel","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","tipDR_10k_harmMeans","MarineOrNot","taxa","trait","value","Barren.Rocky","Cropland","Forest","Grassland","Mosaic.Cropland","Other","Savanna","Shrubland","Urban","Water.Body","Wetland","Min_Elev","Max_Elev","source","Andes_Overlap","Forest_Biome","Grass_Biome","Origin_Class","binOrigin_all","binOrigin_rodents","binOrigin_nonRod","A_H","NA_TeF","NA_TrF","SA_TeF","SA_TrF","NA_TeG","NA_TrG","SA_TeG","SA_TrG","z_NONE","endemic_protoAndesForest","endemic_lowlandForest","endemic_grassLowHigh","widespread_newBiomes"
"11","Artibeus_amplus","Artibeus_amplus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_amplus",2,0,0.369413788,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,24,2000,"from 2 sources",0.187971103,"Forest","","South_America",0,0,0,"0","0","1","0","1","0","0","0","0","1",0,1,0,0
"12","Artibeus_concolor","Artibeus_concolor_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_concolor",6,0,0.169270185,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,500,"from 3 sources",0.00022387,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"13","Artibeus_planirostris","Artibeus_planirostris_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,3,0,0.369413788,0,"mammals","habitat_mol","Mosaic Cropland,Forest",0,0,1,0,1,0,0,0,0,0,0,650,2000,"from 3 sources",0.004952129,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","1","1","1",0,0,0,1
"14","Artibeus_obscurus","Artibeus_obscurus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_obscurus",4,0,0.337253888,0,"mammals","habitat_mol","Forest,Savanna",0,0,1,0,0,0,1,0,0,0,0,0,1350,"Mammals of South America, Volume 1",0.02573163,"Forest","Grass_Savanna","South_America",0,0,0,"0","0","1","0","1","0","0","1","1","1",0,0,0,1
"15","Artibeus_lituratus","Artibeus_lituratus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_lituratus",7,0,0.319233154,0,"mammals","habitat_mol","Other,Urban,Forest",0,0,1,0,0,1,0,0,1,0,0,0,1080,"Mammals of Mexico",0.073908342,"Forest","","South_America",0,0,0,"0","1","1","0","1","1","1","1","1","1",0,0,0,1
"16","Bradypus_tridactylus","Bradypus_tridactylus_BRADYPODIDAE_PILOSA","Bradypus","BRADYPODIDAE","PILOSA","Xenarthra","Xenart.","Bradypus_tridactylus",26,0,0.05781467,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","0","0","1",0,1,0,0
"17","Bradypus_variegatus","Bradypus_variegatus_BRADYPODIDAE_PILOSA","Bradypus","BRADYPODIDAE","PILOSA","Xenarthra","Xenart.","Bradypus_variegatus",4,0,0.057812232,0,"mammals","habitat_mol","Other,Forest",0,0,1,0,0,1,0,0,0,0,0,0,2400,"from 2 sources",0.061885981,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","1","1","1","1",0,0,0,1
"18","Cabassous_unicinctus","Cabassous_unicinctus_DASYPODIDAE_CINGULATA","Cabassous","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Cabassous_unicinctus",5,0,0.079930145,0,"mammals","habitat_mol","Mosaic Cropland,Other,Forest,Shrubland,Grassland",0,0,1,1,1,1,0,1,0,0,0,200,1500,"MammaliaWeb - Ecuador Mammals",0.009747868,"Forest","Grass_Savanna","South_America",0,0,0,"0","0","0","0","1","0","0","1","1","1",0,0,0,1
"19","Caluromys_philander","Caluromys_philander_DIDELPHIDAE_DIDELPHIMORPHIA","Caluromys","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Caluromys_philander",28,0,0.062124234,0,"mammals","habitat_mol","Other,Forest",0,0,1,0,0,1,0,0,0,0,0,0,1800,"from 2 sources",0.010258461,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","0","1","1",0,0,0,1
"20","Cavia_aperea","Cavia_aperea_CAVIIDAE_RODENTIA","Cavia","CAVIIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Cavia_aperea",2,0,0.228806905,0,"mammals","habitat_mol","Savanna,Grassland,Barren/Rocky",1,0,0,1,0,0,1,0,0,0,0,400,3000,"IUCN",0.072454331,"","Grass_Savanna","South_America",0,0,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"21","Carollia_brevicauda","Carollia_brevicauda_PHYLLOSTOMIDAE_CHIROPTERA","Carollia","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Carollia_brevicauda",9,0,0.22132595,0,"mammals","habitat_mol","Forest,Savanna",0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,0.092250929,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","1","0","1","0","0","1","1","1",0,0,0,1
"22","Carollia_castanea","Carollia_castanea_PHYLLOSTOMIDAE_CHIROPTERA","Carollia","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Carollia_castanea",8,0,0.14903612,0,"mammals","habitat_mol","Mosaic Cropland,Other,Forest",0,0,1,0,1,1,0,0,0,0,0,0,1700,"from 2 sources",0.200820278,"Forest","","South_America",0,0,0,"0","0","1","0","1","0","1","1","1","1",0,0,0,1
"23","Carollia_perspicillata","Carollia_perspicillata_PHYLLOSTOMIDAE_CHIROPTERA","Carollia","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Carollia_perspicillata",11,0,0.22132595,0,"mammals","habitat_mol","Forest,Other",0,0,1,0,0,1,0,0,0,0,0,0,2150,"from 3 sources",0.07089159,"Forest","","South_America",0,0,0,"1","1","1","0","1","0","1","1","1","1",0,0,0,1
"24","Cebus_olivaceus","Cebus_olivaceus_CEBIDAE_PRIMATES","Cebus","CEBIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Cebus_olivaceus",1,0,0.332494272,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,500,2700,"Animal Diversity Web",0.022059291,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"25","Centurio_senex","Centurio_senex_PHYLLOSTOMIDAE_CHIROPTERA","Centurio","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Centurio_senex",11,0,0.233596643,0,"mammals","habitat_mol","Other,Mosaic Cropland,Urban,Forest",0,0,1,0,1,1,0,0,1,0,0,0,2230,"from 4 sources",0.110793613,"Forest","","South_America",0,0,0,"1","1","1","0","1","1","1","1","1","1",0,0,0,1
"26","Cerdocyon_thous","Cerdocyon_thous_CANIDAE_CARNIVORA","Cerdocyon","CANIDAE","CARNIVORA","Caniformes","Laurasiatheria","Cerdocyon_thous",7,0,0.345958238,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Other,Forest,Savanna,Shrubland,Grassland,Wetland",0,1,1,1,1,1,1,1,0,0,1,0,3000,"from 2 sources",0.017630164,"Forest","Grass_Savanna","North_America",1,0,1,"1","0","1","0","1","0","0","1","1","1",0,0,0,1
"27","Chiroderma_trinitatum","Chiroderma_trinitatum_PHYLLOSTOMIDAE_CHIROPTERA","Chiroderma","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Chiroderma_trinitatum",4,0,0.300258203,0,"mammals","habitat_mol","Forest,Other",0,0,1,0,0,1,0,0,0,0,0,NA,1000,"IUCN",0.0733242,"Forest","","South_America",0,0,0,"0","0","1","0","1","0","0","1","1","1",0,0,0,1
"28","Chiroderma_villosum","Chiroderma_villosum_PHYLLOSTOMIDAE_CHIROPTERA","Chiroderma","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Chiroderma_villosum",4,0,0.279974549,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,600,"from 2 sources",0.067916653,"Forest","","South_America",0,0,0,"1","1","1","0","1","0","0","0","0","1",0,0,0,1
"29","Chiropotes_chiropotes","Chiropotes_chiropotes_PITHECIIDAE_PRIMATES","Chiropotes","PITHECIIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Chiropotes_chiropotes",19,0,0.322037043,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","0","0","1",0,1,0,0
"30","Chrotopterus_auritus","Chrotopterus_auritus_PHYLLOSTOMIDAE_CHIROPTERA","Chrotopterus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Chrotopterus_auritus",10,0,0.064172017,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Other",0,0,1,0,1,1,0,0,0,0,0,0,2000,"http://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-343-01-0001.pdf",0.035763874,"Forest","","South_America",0,0,0,"0","0","1","0","1","0","1","1","1","1",0,0,0,1
"31","Choeroniscus_minor","Choeroniscus_minor_PHYLLOSTOMIDAE_CHIROPTERA","Choeroniscus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Choeroniscus_minor",6,0,0.234753791,0,"mammals","habitat_mol","Other,Forest,Wetland",0,0,1,0,0,1,0,0,0,0,1,0,3860,"from 4 sources",0.112836537,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","1","1","1",0,0,0,1
"32","Choloepus_didactylus","Choloepus_didactylus_MEGALONYCHIDAE_PILOSA","Choloepus","MEGALONYCHIDAE","PILOSA","Xenarthra","Xenart.","Choloepus_didactylus",21,0,0.048164109,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,2400,"IUCN",0.006359552,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"33","Choeroniscus_godmani","Choeroniscus_godmani_PHYLLOSTOMIDAE_CHIROPTERA","Choeroniscus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Choeroniscus_godmani",4,0,0.235184518,0,"mammals","habitat_mol","Other,Forest",0,0,1,0,0,1,0,0,0,0,0,0,500,"from 4 sources",0.131539524,"Forest","","South_America",0,0,0,"1","1","1","0","1","0","1","1","1","1",0,0,0,1
"34","Coendou_prehensilis","Coendou_prehensilis_ERETHIZONTIDAE_RODENTIA","Coendou","ERETHIZONTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Coendou_prehensilis",2,0,0.256877957,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0.01926578,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","0","0","1",0,0,0,1
"35","Cormura_brevirostris","Cormura_brevirostris_EMBALLONURIDAE_CHIROPTERA","Cormura","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Cormura_brevirostris",1,0,0.134427311,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,1000,"IUCN",0.042720252,"Forest","","South_America",0,0,0,"0","0","1","0","1","0","0","0","0","1",0,1,0,0
"36","Cyclopes_didactylus","Cyclopes_didactylus_CYCLOPEDIDAE_PILOSA","Cyclopes","CYCLOPEDIDAE","PILOSA","Xenarthra","Xenart.","Cyclopes_didactylus",25,0,0.020445779,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,800,"from 2 sources",0.047522419,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","0","0","1",0,0,0,1
"37","Cynomops_greenhalli","Cynomops_greenhalli_MOLOSSIDAE_CHIROPTERA","Cynomops","MOLOSSIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Cynomops_greenhalli",0,0,0.26627285,0,"mammals","habitat_mol","Urban,Forest",0,0,1,0,0,0,0,0,1,0,0,0,450,"from 2 sources",0.10272341,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","1","1","1",0,0,0,1
"38","Cynomops_paranus","Cynomops_paranus_MOLOSSIDAE_CHIROPTERA","Cynomops","MOLOSSIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Cynomops_paranus",2,0,0.259777557,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,250,250,"IUCN",0.042167146,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","0","0","1",0,0,0,1
"39","Cynomops_planirostris","Cynomops_planirostris_MOLOSSIDAE_CHIROPTERA","Cynomops","MOLOSSIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Cynomops_planirostris",1,0,0.259505075,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0.03068883,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","0","0","1",0,0,0,1
"40","Dasyprocta_fuliginosa","Dasyprocta_fuliginosa_DASYPROCTIDAE_RODENTIA","Dasyprocta","DASYPROCTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Dasyprocta_fuliginosa",1,0,0.241420862,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,1000,"Mammals of South America 2, Volume 257",0.020260613,"","","South_America",0,0,0,"0","0","1","0","1","0","0","0","0","1",0,1,0,0
"41","Dasyprocta_leporina","Dasyprocta_leporina_DASYPROCTIDAE_RODENTIA","Dasyprocta","DASYPROCTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Dasyprocta_leporina",4,0,0.218721388,0,"mammals","habitat_mol","Mosaic Cropland,Forest",0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,8.16e-05,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"42","Cuniculus_paca","Cuniculus_paca_CUNICULIDAE_RODENTIA","Cuniculus","CUNICULIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Cuniculus_paca",9,0,0.067575762,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,2000,"from 2 sources",0.031908431,"Forest","","South_America",0,0,0,"0","1","1","0","1","0","0","0","0","1",0,1,0,0
"43","Dasypus_kappleri","Dasypus_kappleri_DASYPODIDAE_CINGULATA","Dasypus","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Dasypus_kappleri",5,0,0.068190782,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0.011716781,"Forest","","South_America",0,0,0,"1","0","1","0","1","0","0","0","0","1",0,0,0,1
"44","Dasypus_sabanicola","Dasypus_sabanicola_DASYPODIDAE_CINGULATA","Dasypus","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Dasypus_sabanicola",0,0,0.064474034,0,"mammals","habitat_mol","Savanna,Shrubland,Grassland",0,0,0,1,0,0,1,1,0,0,0,25,500,"IUCN",0.000259355,"","Grass_Savanna","South_America",0,0,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"45","Dasypus_novemcinctus","Dasypus_novemcinctus_DASYPODIDAE_CINGULATA","Dasypus","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Dasypus_novemcinctus",29,0,0.068165207,0,"mammals","habitat_mol","Forest,Cropland,Mosaic Cropland,Other,Urban,Savanna,Shrubland,Grassland",0,1,1,1,1,1,1,1,1,0,0,0,3000,"from 2 sources",0.0513373,"Forest","Grass_Savanna","South_America",0,0,0,"1","1","1","0","1","1","1","1","1","1",0,0,0,1
"46","Dermanura_glaucus","Dermanura_glaucus_PHYLLOSTOMIDAE_CHIROPTERA","Dermanura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_glaucus",6,0,0.243114773,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141920625,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"47","Dermanura_gnomus","Dermanura_gnomus_PHYLLOSTOMIDAE_CHIROPTERA","Dermanura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_gnomus",5,0,0.325989922,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020950585,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"48","Dermanura_phaeotis","Dermanura_phaeotis_PHYLLOSTOMIDAE_CHIROPTERA","Dermanura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_phaeotis",6,0,0.281854397,0,"mammals","habitat_mol","Mosaic Cropland,Forest",0,0,1,0,1,0,0,0,0,0,0,0,1350,"Mammals of Mexico",0.130574576,"Forest","","South_America",0,0,0,"0","1","1","0","1","1","1","1","1","1",0,0,0,1
"49","Diaemus_youngi","Diaemus_youngi_PHYLLOSTOMIDAE_CHIROPTERA","Diaemus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diaemus_youngi",8,0,0.074615735,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Forest,Other",0,0,1,0,1,1,0,0,1,0,0,500,1500,"from 2 sources",0.061386329,"Forest","","South_America",0,0,0,"0","1","1","0","1","1","1","1","1","1",0,0,0,1
"50","Desmodus_rotundus","Desmodus_rotundus_PHYLLOSTOMIDAE_CHIROPTERA","Desmodus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Desmodus_rotundus",20,0,0.094883403,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Barren/Rocky,Other",1,0,0,0,1,1,0,0,1,0,0,0,3800,"from 6 sources",0.132794126,"","","South_America",0,0,0,"0","0","0","0","0","1","1","1","1","1",0,0,1,0
"51","Diclidurus_albus","Diclidurus_albus_EMBALLONURIDAE_CHIROPTERA","Diclidurus","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diclidurus_albus",3,0,0.133122335,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Forest",0,0,1,0,1,0,0,0,1,0,0,0,800,"from 2 sources",0.046914136,"Forest","","South_America",0,0,0,"1","1","1","0","1","0","1","1","1","1",0,0,0,1
"52","Diclidurus_ingens","Diclidurus_ingens_EMBALLONURIDAE_CHIROPTERA","Diclidurus","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diclidurus_ingens",1,0,0.133122335,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Forest",0,0,1,0,1,0,0,0,1,0,0,NA,200,"IUCN",0.003421785,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","0","1","1",0,0,0,1
"53","Diclidurus_isabellus","Diclidurus_isabellus_EMBALLONURIDAE_CHIROPTERA","Diclidurus","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diclidurus_isabellus",2,0,0.091908663,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"IUCN",NA,"Forest","","South_America",0,0,0,"0","0","0","0","1","0","0","0","0","0",0,1,0,0
"54","Didelphis_marsupialis","Didelphis_marsupialis_DIDELPHIDAE_DIDELPHIMORPHIA","Didelphis","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Didelphis_marsupialis",9,0,0.207629825,0,"mammals","habitat_mol","Cropland,Other,Mosaic Cropland,Urban,Forest,Shrubland",0,1,1,0,1,1,0,1,1,0,0,0,2500,"from 4 sources",0.127144272,"Forest","","South_America",0,0,0,"1","1","1","0","1","1","1","1","1","1",0,0,0,1
"55","Diphylla_ecaudata","Diphylla_ecaudata_PHYLLOSTOMIDAE_CHIROPTERA","Diphylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diphylla_ecaudata",2,0,0.06038001,0,"mammals","habitat_mol","Forest,Other,Grassland",0,0,1,1,0,1,0,0,0,0,0,0,500,"from 3 sources",0.130362633,"Forest","Grass_Savanna","South_America",0,0,0,"1","1","1","0","1","1","1","1","1","1",0,0,0,1
"56","Eira_barbara","Eira_barbara_MUSTELIDAE_CARNIVORA","Eira","MUSTELIDAE","CARNIVORA","Caniformes","Laurasiatheria","Eira_barbara",12,0,0.110121501,0,"mammals","habitat_mol","Forest,Savanna",0,0,1,0,0,0,1,0,0,0,0,NA,1000,"Mammals of Mexico",0.044871824,"Forest","Grass_Savanna","North_America",1,0,1,"0","1","1","0","1","1","1","1","1","1",0,0,0,1
"57","Enchisthenes_hartii","Enchisthenes_hartii_PHYLLOSTOMIDAE_CHIROPTERA","Enchisthenes","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Enchisthenes_hartii",3,0,0.086166859,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,3540,"from 5 sources",0.353503479,"Forest","","South_America",0,0,0,"1","1","1","0","1","0","0","0","0","1",0,0,0,1
"58","Eptesicus_furinalis","Eptesicus_furinalis_VESPERTILIONIDAE_CHIROPTERA","Eptesicus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Eptesicus_furinalis",6,0,0.298114149,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Forest",0,0,1,0,1,0,0,0,1,0,0,0,3600,"from 3 sources",0.093364917,"Forest","","North_America",1,0,1,"1","1","1","1","1","1","1","1","1","1",0,0,0,1
